antuk	KKI
antul	KKI
antun	KS
anturium	KB
antusias	KS
antusiasme	KB
anu	KB
anual	KB
anugerah	KB
anuitas	KB
anulir	KKI
anulus	KB
anumerta	KS
anunasika	KB
anuresis	KB
anuria	KB
anus	KB
anuswara	KB
anut	KKI
anyam	KKI
anyang	KB
anyar	KS
anyelir	KB
anyir	KS
aorta	KB
apa	KG
apabila	TB
apak	KS
apakah	KG
apakala	KG
apalagi	KSD
apam	KB
apanase	KB
apar	KB
aparat	KB
aparatur	KB
aparatus	KB
apartemen	KB
apartemenisasi	KB
apartheid	KB
apartotel	KB
apas	KS
apatah	KG
apati	KB
apatis	KS
apatride	KS
ape	KB
apek	KS
apel	KB
apelativa	KB
apendektomi	KB
apendiks	KB
apendisitis	KB
apepsi	KB
apersepsi	KB
apes	KS
aphelion	KB
apheliotropisme	KB
api	KB
apik	KS
apikal	KS
apikultur	KB
apilan	KB
apion	KB
apit	KB
apium	KB
apkir	KKI
aplasi	KB
aplaus	KB
aplikasi	KB
aplikatif	KS
aplus	KKI
apnea	KB
apodal	KS
apoenzim	KB
apogami	KB
apoge	KB
apograf	KB
apok	KB
apokalips	KB
apokaliptik	KS
apokope	KB
apokrifa	KB
apokrin	KS
apokromatik	KS
apolitis	KS
apologetika	KB
apologetis	KS
apologi	KB
apologia	KB
apomiksis	KB
apomorfin	KB
apopleksi	KB
aposematik	KS
aposiopesis	KB
aposisi	KB
aposisional	KS
apositif	KS
apostasi	KB
apostel	KB
aposteriori	KT
apostolik	KS
apostrof	KB
apotek	KB
apoteker	KB
apotik	KB
apraksi	KB
apraksia	KB
apresiasi	KB
apresiatif	KS
apresorium	KB
April	KB
apriori	KS
aprit	KKI
apron	KB
apsara	KB
aptasi	KB
apu	KB
apuh	KS
apung	KKI
apuran	KB
ara	KB
Arab	KB
arababu	KB
arabes	KB
arabika	KB
aragonit	KB
arah	KB
arai	KB
arak	KB
araknitis	KB
araknoid	KB
aral	KB
aram	KB
aramba	KB
arang	KB
aransemen	KB
ararut	KB
arasy	KB
arau	KS
arbab	KB
arbei	KB
arbiter	KB
arbitrase	KB
arbitrer	KS
arboreal	KS
arboretum	KB
arborikultur	KB
arca	KB
arcas	KB
ardi	KB
are	KB
area	KB
areal	KS
arek	KB
aren	KB
arena	KB
areografi	KB
areola	KB
areometer	KB
arerut	KB
ares	KB
arestasi	KB
areta	KB
argari	KB
argentit	KB
argentum	KB
argirodit	KB
argol	KB
argometer	KB
argon	KB
argot	KB
argumen	KB
argumentasi	KB
argumentatif	KS
ari	KB
Aries	KB
arif	KS
arifin	KB
arih	KKI
arik	KKI
aril	KB
arip	KS
aris	KB
arisan	KB
aristokrasi	KB
aristokrat	KB
aristokratis	KS
aristotipe	KB
arit	KB
aritenoid	KS
aritmetika	KB
arja	KB
arkade	KB
arkais	KS
arkaisme	KB
arkati	KB
arkegonium	KB
arkeolog	KB
arkeologi	KB
arkeologis	KS
arkeozoikum	KB
arketipe	KB
arkian	TB
arkifonem	KB
arkileksem	KB
arkitraf	KB
arktika	KB
arku	KB
arloji	KB
armada	KB
arnal	KB
arogan	KS
arogansi	KB
aroma	KB
aromatik	KS
arombai	KB
aron	KS
arpus	KB
arsenal	KB
arsenik	KB
arsenikum	KB
arsip	KB
arsipelago	KB
arsir	KKI
arsis	KB
arsitek	KB
arsitektur	KB
arta	KB
artefak	KB
arteri	KB
arteriografi	KB
arteriola	KB
arteriosklerosis	KB
artesis	KB
artetis	KS
arti	KB
articok	KB
artifisial	KS
artikel	KB
artikulasi	KB
artikulator	KB
artileri	KB
artiodaktil	KB
artis	KB
artisan	KB
artistik	KS
artisyok	KB
artona	KB
artotek	KB
artrobrankium	KB
artropoda	KB
aru	KB
aruan	KB
aruda	KB
aruk	KKI
arumba	KB
arun	KKI
arung	KKI
arus	KB
arwah	KB
arwana	KB
arya	KB
aryaduta	KB
arzak	KB
as	KB
asa	KB
asabat	KB
asabiah	KB
asad	KB
asah	KKI
asai	KB
asak	KS
asal	KB
asali	KS
asam	KB
asan	KB
asana	KB
asap	KB
asar	KB
asas	KB
asasi	KS
asbak	KB
asbes	KB
asbut	KB
ase	KB
aseksual	KS
asepsis	KB
aseptik	KS
aseran	KS
asese	KKI
aset	KB
asetabulum	KB
asetat	KB
asetilena	KB
asetimeter	KB
aseton	KB
asfal	KB
asfar	KB
asfiksia	KB
asi	KB
asibilan	KB
asibilasi	KB
asid	KB
asidimeter	KB
asidosis	KB
asih	KS
asiklik	KS
asil	KB
asilabis	KS
asimetris	KS
asimilasi	KB
asimilatif	KS
asimtot	KB
asimus	KB
asin	KS
asindeton	KB
asing	KS
asinyor	KB
asiri	KS
asisten	KB
asistensi	KB
askar	KB
askariasis	KB
askarid	KB
askese	KB
asket	KB
asketisisme	KB
askon	KB
askriptif	KS
asli	KB
asma	KB
asmara	KB
asmaradanta	KS
asmaragama	KB
asmaraloka	KB
asmarandana	KB
asnad	KB
aso	KKI
asoi	KS
asonansi	KB
