beberapa,BLP
semua,BLP
seluruh,BLP
aneka,BLP
banyak,BLP
berbagai,BLP
mayoritas,BLP
salah satu,BLP
sebagian,BLP
sebanyak,BLP
sedikit,BLP
sejumlah,BLP
separuh,BLP
setiap,BLP
suatu,BLP
tiap,BLP
masing-masing,BLP/KG
persen,BLP/KB
Marilah,CMD
Ayo,CMD
sebaiknya,CMD
buatkan,CMD
ambilkan,CMD
bangunkan,CMD
berilah,CMD
berdoalah,CMD
minumlah,CMD
mintalah,CMD
katakan,CMD
saya,KGO
aku,KGO
kau,KGO
beliau,KGO
dia,KGO
dikau,KGO
engkau,KGO
ia,KGO
kalian,KGO
kami,KGO
kamu,KGO
anda,KGO
kau,KGO
kita,KGO
mereka,KGO
saya,KGO
seseorang,KG
sesuatu,KG
anu,KG
begini,KG
demikian,KG
ini,KG
itu,KG
sana,KG
sini,KG
situ,KG
sedemikian,KG
sekian,KG
tadi,KG
namamu,KG
tersebut,KG/VB
begitu,KG/KET/SC
pertama,BTN
kedua,BTN
ketiga,BTN
keempat,BTN
kelima,BTN
keenam,BTN
ketujuh,BTN
kedelapan,BTN
kesembilan,BTN
kesepuluh,BTN
kesebelas,BTN
keduabelas,BTN
ketigabelas,BTN
keempatbelas,BTN
kelimabelas,BTN
ketujuhbelas,BTN
kedelapanbelas,BTN
kesembilanbelas,BTN
kedua puluh,BTN
kedua puluh satu,BTN
kedua puluh dua,BTN
kedua puluh tiga,BTN
kedua puluh empat,BTN
kedua puluh lima,BTN
kedua puluh enam,BTN
kedua puluh tujuh,BTN
kedua puluh delapan,BTN
kedua puluh sembilan,BTN
ketiga puluh sepuluh,BTN
ketiga puluh satu,BTN
ketiga puluh dua,BTN
ketiga puluh tiga,BTN
ketiga puluh empat,BTN
ketiga puluh lima,BTN
ketiga puluh enam,BTN
ketiga puluh tujuh,BTN
ketiga puluh delapan,BTN
ketiga puluh sembilan,BTN
keempat puluh,BTN
abadi,SFT
acak,SFT
adaptif,SFT
adidaya,SFT
adigang,SFT
adiguna,SFT
adigung,SFT
administratif,SFT
aerobik ,SFT
aerodinamik,SFT
afektif,SFT
afirmatif,SFT
agamais,SFT
agamawi,SFT
agentif,SFT
agitatif,SFT
agraris,SFT
agresif,SFT
ajaib,SFT
akademik,SFT
bagus,SFT
bahenol,SFT
baik,SFT
bangga,SFT
banyak,SFT
cakep,SFT
canggih,SFT
dahsyat,SFT
dalam,SFT
efisien,SFT
ekologis,SFT
egois,SFT/KK
fasih,SFT
fenomenal,SFT
gaduh,SFT
gadungan,SFT
idealistis,SFT
ideologis,SFT
jahanam,SFT
jail,SFT
Terbaik,SFT
Terbagus,SFT
Terajin,SFT
Terpandai,SFT
Termalas,SFT
Terlama,SFT
Terkuat,SFT
Terlemah,SFT
Terkotor,SFT
Terbersih,SFT
Tercepat,SFT
Tecantik,SFT
Terganteng ,SFT
Terjelek,SFT
Terlucu,SFT
Terjinak,SFT
Terliar,SFT
Terbuas,SFT
Terganas,SFT
Terpanas,SFT
Terdingin,SFT
Terhangat,SFT
Tergelap,SFT
Terterang,SFT
Terhijau,SFT
Terputih,SFT
Terjarang,SFT
Tercepat,SFT
Tertinggi,SFT
Terpendek,SFT
Terbesar,SFT
Terkecil,SFT
Tersempit,SFT
Terluas,SFT
Terkaya,SFT
Termiskin,SFT
Terdekat,SFT
Terjauh,SFT
Terparah,SFT
Terkasar,SFT
Terhalus,SFT
Terata,SFT
Terindah,SFT
Terburuk,SFT
Terbersih,SFT
Terapih,SFT
Tersakit,SFT
Tersehat,SFT
Terbotak,SFT
Terpanjang,SFT
Terpendek,SFT
Termanis,SFT
Terpahit,SFT
Terasam,SFT
Terasin,SFT
Terenak,SFT
Terlezat,SFT
Terberat,SFT
Terenteng,SFT
Teringan,SFT
Tergesit,SFT
Terlincah,SFT
Terbanyak,SFT
Terlebat,SFT
Termancung,SFT
Terpesek,SFT
Terompong,SFT
Terbiru,SFT
Termerah,SFT
Terusak,SFT
Teistimewa,SFT
Terajin,SFT
Terkenal,SFT
Tepusing,SFT
Tergirang,SFT
Terlurus,SFT
Tergatal,SFT
Kreatif,SFT/SRP
legal,SFT/SRP
Ilegal,SFT/SRP
Berkualitas,SFT/SRP
Positif,SFT/SRP
Negatife,SFT/SRP
Progresif,SFT/SRP
Kimiawi,SFT/SRP
Ekspor,SFT/SRP
Impor,SFT/SRP
Inovatif,SFT/SRP
Religius,SFT/SRP
Aktual,SFT/SRP
Abadi,SFT/SRP
Hewani,SFT/SRP
Gerejawi,SFT/SRP
Amaliah,SFT/SRP
Insaniah,SFT/SRP
Amanah,SFT/SRP
Alami,SFT/SRP
Egois,SFT/SRP
Sosialis,SFT/SRP
Kapitalis,SFT/SRP
Ekonomis,SFT/SRP
Feodalis,SFT/SRP
Otoriter,SFT/SRP
Teknis,SFT/SRP
Praktis,SFT/SRP
Kritis,SFT/SRP
Komunis,SFT/SRP
Ilahi,SFT/SRP
Islamiah,SFT/SRP
Amoral,SFT/SRP
Sekunder,SFT/SRP
Primer,SFT/SRP
Tersier,SFT/SRP
Produktif,SFT/SRP
Asosial,SFT/SRP
Modern,SFT/SRP
Lawas,SFT/SRP
Maksimal,SFT/SRP
Minimal,SFT/SRP
Kondusif,SFT/SRP
Krusial,SFT/SRP
Dilema,SFT/SRP
Diskon,SFT/SRP
Dobel,SFT/SRP
Efisien,SFT/SRP
Efektif,SFT/SRP
Eksis,SFT/SRP
Feminim,SFT/SRP
Fleksibel,SFT/SRP
Horor,SFT/SRP
Instan,SFT/SRP
Marjinal,SFT/SRP
Mentol,SFT/SRP
Nasioanal,SFT/SRP
Internasional,SFT/SRP
Rasional,SFT/SRP
Relatif,SFT/SRP
Rileks,SFT/SRP
Rutin,SFT/SRP
Seksi,SFT/SRP
Standar,SFT/SRP
Stres,SFT/SRP
Tren,SFT/SRP
Tirani,SFT/SRP
Unik,SFT/SRP
aktor,SRP
abad,SRP
armada,SRP
bolu,SRP
bakiak,SRP
amatir,SRP
bisnis,SRP
almanak,SRP
algojo,SRP
bakmi,SRP
akte,SRP
detail,SRP
baligh,SRP
bangku,SRP
bakwan,SRP
bombardir,SRP
ekspor,SRP
ilmu,SRP
dadu,SRP
cawan,SRP
coklat,SRP
inovasi,SRP
lafal,SRP
dansa,SRP
ginseng,SRP
diet,SRP
durhaka,SRP
dewasa,SRP
esai,SRP
erosi,SRP
etiket,SRP
enzim,SRP
es,SRP
hotel,SRP
embrio,SRP
halal,SRP
rezeki,SRP
logam,SRP
haram,SRP
peti,SRP
Asia,NGR
Eropa,NGR
Amerika,NGR
Afrika,NGR
Oseania,NGR
Antartika,NGR
Afganistan,NGR
Republik Islam Afganistan,NGR
Afrika Selatan,NGR
Republik Afrika Selatan,NGR
Afrika Tengah,NGR
Republik Afrika Tengah,NGR
Albania,NGR
Republik Albania,NGR
Aljazair,NGR
Amerika Serikat,NGR
Andorra,NGR
Kepangeranan Andorra,NGR
Angola,NGR
Republik Angola,NGR
Antigua dan Barbuda,NGR
Arab Saudi,NGR
Kerajaan Arab Saudi,NGR
Argentina,NGR
Republik Argentina,NGR
Armenia,NGR
Republik Armenia,NGR
Australia,NGR
Persemakmuran Australia,NGR
Austria,NGR
Republik Austria,NGR
Azerbaijan,NGR
Republik Azerbaijan,NGR
Bahama,NGR
Persemakmuran Bahama,NGR
Bahrain,NGR
Kerajaan Bahrain,NGR
Bangladesh,NGR
Republik Rakyat Bangladesh,NGR
Barbados,NGR
Belanda,NGR
Kerajaan Belanda,NGR
Belarus,NGR
Republik Belarus ,NGR
Belgia,NGR
Kerajaan Belgia ,NGR
Belize,NGR
Benin,NGR
Republik Benin,NGR
Bhutan,NGR
Kerajaan Bhutan,NGR
Bolivia,NGR
Republik Bolivia,NGR
Bosnia dan Herzegovina,NGR
Botswana,NGR
Republik Botswana ,NGR
Brasil,NGR
Republik Federal Brasil,NGR
Inggris,NGR
Britania Raya,NGR
Kerajaan Bersatu Britania Raya dan Irlandia Utara ,NGR
Brunei,NGR
Negara Brunei Darussalam,NGR
Bulgaria,NGR
Republik Bulgaria,NGR
Burkina Faso,NGR
Burma,NGR
Burundi,NGR
Republik Burundi,NGR
Ceko,NGR
Republik Ceko,NGR
Chad,NGR
Republik Chad ,NGR
Chili,NGR
Republik Chili,NGR
Cina,NGR
Republik Rakyat Cina,NGR
